\\Value\\;ID_210;Value;;2018-11-21 14:02:02.022756;2018-11-21 14:02:02.022758;2018-11-21 14:02:02.022761;TEST_OSIRIS;None
\\Unit\\;ID_211;Unit;;2018-11-21 14:02:02.022828;2018-11-21 14:02:02.022831;2018-11-21 14:02:02.022833;TEST_OSIRIS;None
\\Code\\;ID_57;Code;;2018-11-21 14:02:02.022946;2018-11-21 14:02:02.022949;2018-11-21 14:02:02.022952;TEST_OSIRIS;None
\\Name\\;ID_58;Name;;2018-11-21 14:02:02.023022;2018-11-21 14:02:02.023025;2018-11-21 14:02:02.023027;TEST_OSIRIS;None
\\Treatment\\;ID_59;Treatment;;2018-11-21 14:02:02.023098;2018-11-21 14:02:02.023101;2018-11-21 14:02:02.023104;TEST_OSIRIS;None
\\Treatment\\Type\\;ID_60;Type;;2018-11-21 14:02:02.023135;2018-11-21 14:02:02.023138;2018-11-21 14:02:02.023141;TEST_OSIRIS;None
\\Treatment\\LineNumber\\;ID_61;LineNumber;;2018-11-21 14:02:02.023194;2018-11-21 14:02:02.023197;2018-11-21 14:02:02.023199;TEST_OSIRIS;None
\\Treatment\\ActivityCode\\;ID_62;ActivityCode;;2018-11-21 14:02:02.023256;2018-11-21 14:02:02.023259;2018-11-21 14:02:02.023261;TEST_OSIRIS;None
\\Treatment\\StartDate\\;ID_63;StartDate;;2018-11-21 14:02:02.023311;2018-11-21 14:02:02.023314;2018-11-21 14:02:02.023317;TEST_OSIRIS;None
\\Treatment\\EndDate\\;ID_64;EndDate;;2018-11-21 14:02:02.023367;2018-11-21 14:02:02.023370;2018-11-21 14:02:02.023372;TEST_OSIRIS;None
\\Treatment\\ClinicalTrialContext\\;ID_65;ClinicalTrialContext;;2018-11-21 14:02:02.023422;2018-11-21 14:02:02.023425;2018-11-21 14:02:02.023428;TEST_OSIRIS;None
\\Treatment\\ClinicalTrialName\\;ID_66;ClinicalTrialName;;2018-11-21 14:02:02.023478;2018-11-21 14:02:02.023481;2018-11-21 14:02:02.023483;TEST_OSIRIS;None
\\Treatment\\ClinicalTrialId\\;ID_67;ClinicalTrialId;;2018-11-21 14:02:02.023533;2018-11-21 14:02:02.023536;2018-11-21 14:02:02.023539;TEST_OSIRIS;None
\\Treatment\\SurgeryResectionQuality\\;ID_68;SurgeryResectionQuality;;2018-11-21 14:02:02.023589;2018-11-21 14:02:02.023592;2018-11-21 14:02:02.023594;TEST_OSIRIS;None
\\Treatment\\SurgeryNature\\;ID_69;SurgeryNature;;2018-11-21 14:02:02.023644;2018-11-21 14:02:02.023647;2018-11-21 14:02:02.023649;TEST_OSIRIS;None
\\Date\\;ID_71;Date;;2018-11-21 14:02:02.023783;2018-11-21 14:02:02.023786;2018-11-21 14:02:02.023789;TEST_OSIRIS;None
\\GeneticAnalysisAuthorization\\;ID_72;GeneticAnalysisAuthorization;;2018-11-21 14:02:02.023860;2018-11-21 14:02:02.023863;2018-11-21 14:02:02.023866;TEST_OSIRIS;None
\\PathologyCode\\;ID_74;PathologyCode;;2018-11-21 14:02:02.023978;2018-11-21 14:02:02.023981;2018-11-21 14:02:02.023984;TEST_OSIRIS;None
\\DiagnosisDate\\;ID_75;DiagnosisDate;;2018-11-21 14:02:02.024049;2018-11-21 14:02:02.024052;2018-11-21 14:02:02.024054;TEST_OSIRIS;None
\\PathologyEndDate\\;ID_76;PathologyEndDate;;2018-11-21 14:02:02.024120;2018-11-21 14:02:02.024123;2018-11-21 14:02:02.024125;TEST_OSIRIS;None
\\TopographyCode\\;ID_78;TopographyCode;;2018-11-21 14:02:02.024237;2018-11-21 14:02:02.024240;2018-11-21 14:02:02.024242;TEST_OSIRIS;None
\\Parentage\\;ID_79;Parentage;;2018-11-21 14:02:02.024308;2018-11-21 14:02:02.024311;2018-11-21 14:02:02.024313;TEST_OSIRIS;None
\\AlterationType\\;ID_81;AlterationType;;2018-11-21 14:02:02.024425;2018-11-21 14:02:02.024427;2018-11-21 14:02:02.024430;TEST_OSIRIS;None
